Nom_Districte,Any,Codi_Districte,Codi_Barri,Poblacio,Domicilis,Ocupacio_mitjana_(persones_ per_domicili),ratio_people/poblacio
Nou Barris,26273,104,650,173552,66897,34.26,0.608559711807682
Horta-Guinardó,22231,77,418,173944,69956,27.330000000000002,0.5851889032378292
Sants-Montjuïc,16168,24,116,187026,74280,19.98,0.26619273973529617
Sant Andreu,14147,63,420,151537,59678,18.55,0.19138730435331072
Sant Martí,20210,100,685,241181,94907,25.689999999999998,0.1273676076164334
Sarrià-Sant Gervasi,12126,30,147,149201,56218,16.47,0.1152139241343355
Gràcia,10105,30,150,123276,52701,11.96,0.0761248299818251
Ciutat Vella,8084,4,10,109672,40867,10.75,0.04532359107408159
Les Corts,6063,12,60,81576,32780,7.720000000000001,0.03958125338853241
Eixample,12126,12,45,269349,111779,14.540000000000001,0.03363991831979974
